point,step,Privacy cost
3.0,0,1.0248609757539514e-05
3.0,200,1.2747711513257174
3.0,500,6.644035810324655e-05
3.0,700,0.0001088631440829
3.0,900,2.8538242516678347e-05
3.0,1200,3.139286288143883e-05
3.0,1400,6.176405885323217e-05
3.0,1600,5.5409293077314354e-05
3.0,1900,2.918646511116556e-06
3.0,2100,2.70234305540389e-05
3.0,2300,5.414296359111148e-05
3.0,2600,1.1040116543017493e-07
3.0,2800,1.3946961342414416e-05
3.0,3000,5.647001255559777e-06
3.0,3300,8.041598459295319e-06
3.0,3500,1.0840722561982438e-05
3.0,3700,5.398564942090768e-05
3.0,4000,0.0001194761719359
3.0,4200,0.0001214334183994
3.0,4400,3.3504489279484044e-06
3.0,4600,3.09294447525435e-05
3.0,4900,6.163345282113608e-05
3.0,5100,5.073440146889604e-06
3.0,5300,7.29525583515727e-05
3.0,5600,4.8374734163515735e-05
3.0,5800,0.0001323495901721
3.0,6000,2.7936522372425048e-05
3.0,6300,5.984655206304945e-05
3.0,6500,5.220753916103951e-05
3.0,6700,5.778277350698098e-05
3.0,7000,2.8418980210540344e-05
3.0,7200,3.351911070688368e-06
3.0,7400,0.0001294659186059
3.0,7700,3.421038194170937e-05
3.0,7900,6.829692611533257e-05
3.0,8100,7.01517089977423e-05
3.0,8400,1.6139084576071114e-05
3.0,8600,3.281776789464414e-05
3.0,8800,6.571941854001565e-05
3.0,9100,3.225757650282931e-05
3.0,9300,3.198908967955428e-05
