point,step,Privacy cost
0.0,0,1.1419389701939001e-05
0.0,200,7.5190238106006735
0.0,500,5.317373537107691
0.0,700,2.7476637815146265
0.0,900,2.751475802239183
0.0,1200,6.537466435909001
0.0,1400,0.0002032475894866802
0.0,1600,2.0536942180436295
0.0,1900,7.780711023459826
0.0,2100,5.020972892563183
0.0,2300,2.542792837748127
0.0,2600,4.9317942442837985
0.0,2800,4.896554673306259
0.0,3000,4.861586754496945
0.0,3300,7.399908508449263
0.0,3500,2.4751530891746976
0.0,3700,6.893388453233479
0.0,4000,3.3869814020277165
0.0,4200,0.0006406637250676837
0.0,4400,1.459515311077272
0.0,4600,3.7997240839861095
0.0,4900,9.214175048800106
0.0,5100,1.4004826760823654
0.0,5300,1.3266658738261974
0.0,5600,6.043041168098947e-05
0.0,5800,0.0006292197811200438
0.0,6000,3.613491159047447
0.0,6300,6.176969481973944
0.0,6500,9.019457871054854
0.0,6700,0.0004975464634410564
0.0,7000,3.927408451945162
0.0,7200,4.966617072808337
0.0,7400,3.0346438733516643
0.0,7700,2.2101032779274314
0.0,7900,4.843572524101156
0.0,8100,7.790167182032371
0.0,8400,2.2294183707463855
0.0,8600,7.6523974150584655
0.0,8800,7.597521474265395
0.0,9100,0.017138594733680595
0.0,9300,4.689681331948474
1.0,0,1.2234174781636464e-05
1.0,200,1.4106007327104638e-05
1.0,500,2.9597384888789095e-05
1.0,700,1.163874682014536e-05
1.0,900,1.788143563313216e-05
1.0,1200,2.934090614258252e-06
1.0,1400,1.1431383193844297e-05
1.0,1600,3.957292317510868e-06
1.0,1900,2.6527459281567555e-06
1.0,2100,2.632948479223823e-06
1.0,2300,1.0972242128154775e-05
1.0,2600,1.0870826589770016e-05
1.0,2800,1.2025455288127382e-05
1.0,3000,2.548916285657348e-06
1.0,3300,2.5598027779119384e-06
1.0,3500,2.5709724169890135e-05
1.0,3700,3.105252908096183e-05
1.0,4000,1.291890736414667e-05
1.0,4200,1.284418752432987e-05
1.0,4400,3.1028591506766428e-06
1.0,4600,2.5752508979064613e-09
1.0,4900,1.2501790368378673e-05
1.0,5100,1.2414243370648819e-05
1.0,5300,1.2323848266855799e-05
1.0,5600,4.7037953656132296e-17
1.0,5800,2.9627309501876245e-05
1.0,6000,3.825308957061057e-06
1.0,6300,5.279287397707132e-10
1.0,6500,3.201419483194611e-06
1.0,6700,2.7906779398630715e-06
1.0,7000,1.1595315077211744e-05
1.0,7200,1.4078796830584916e-05
1.0,7400,3.467119690100174e-05
1.0,7700,3.387705725235292e-05
1.0,7900,3.8372323200238394e-05
1.0,8100,1.3631918278295096e-05
1.0,8400,1.3486825382846703e-05
1.0,8600,3.1869039660457048e-06
1.0,8800,1.329416608373499e-05
1.0,9100,1.3151981072722935e-05
1.0,9300,7.022320658916903e-08
2.0,0,8.974428948204243e-06
2.0,200,2.8307320187052674
2.0,500,0.5026447253467655
2.0,700,0.0002177607146393715
2.0,900,3.333053252287798e-05
2.0,1200,0.0005580595935295136
2.0,1400,5.574286334669772e-05
2.0,1600,0.5010671658607985
2.0,1900,3.929016494854445e-05
2.0,2100,2.7041459464751857e-05
2.0,2300,5.4070495589752385e-05
2.0,2600,5.3894278790821845e-05
2.0,2800,9.844348877096697e-05
2.0,3000,5.284032651716889e-05
2.0,3300,0.0001857008593100951
2.0,3500,0.0002111910872089452
2.0,3700,4.026608881502535e-05
2.0,4000,0.00011874858488845842
2.0,4200,3.247379492550002e-05
2.0,4400,6.364566880811835e-05
2.0,4600,0.00011731674089691675
2.0,4900,6.169953220979907e-05
2.0,5100,3.0826396193958174e-05
2.0,5300,6.259353705010155e-05
2.0,5600,6.033494853387502e-05
2.0,5800,2.90860096023733e-06
2.0,6000,6.211874428813501e-05
2.0,6300,5.8853051110574005e-05
2.0,6500,6.0366249729514694e-05
2.0,6700,0.0004856985012283023
2.0,7000,5.73769752879964e-05
2.0,7200,0.004583902758945951
2.0,7400,6.910270816773584e-05
2.0,7700,7.91741890018201e-05
2.0,7900,0.0001271830024574396
2.0,8100,0.03704141984430244
2.0,8400,1.348916221388233e-05
2.0,8600,6.619383172099337e-05
2.0,8800,3.421518298121571e-05
2.0,9100,0.03566854540168712
2.0,9300,1.3495953490820123
3.0,0,1.0248609757539514e-05
3.0,200,1.2747711513257174
3.0,500,6.644035810324655e-05
3.0,700,0.00010886314408296342
3.0,900,2.8538242516678347e-05
3.0,1200,3.139286288143883e-05
3.0,1400,6.176405885323217e-05
3.0,1600,5.5409293077314354e-05
3.0,1900,2.9186465111165557e-06
3.0,2100,2.70234305540389e-05
3.0,2300,5.4142963591111475e-05
3.0,2600,1.1040116543017493e-07
3.0,2800,1.3946961342414416e-05
3.0,3000,5.647001255559777e-06
3.0,3300,8.041598459295319e-06
3.0,3500,1.0840722561982438e-05
3.0,3700,5.398564942090768e-05
3.0,4000,0.00011947617193596455
3.0,4200,0.00012143341839943638
3.0,4400,3.3504489279484044e-06
3.0,4600,3.09294447525435e-05
3.0,4900,6.163345282113608e-05
3.0,5100,5.073440146889604e-06
3.0,5300,7.29525583515727e-05
3.0,5600,4.8374734163515735e-05
3.0,5800,0.00013234959017217058
3.0,6000,2.7936522372425048e-05
3.0,6300,5.984655206304945e-05
3.0,6500,5.220753916103951e-05
3.0,6700,5.7782773506980984e-05
3.0,7000,2.8418980210540344e-05
3.0,7200,3.351911070688368e-06
3.0,7400,0.00012946591860599386
3.0,7700,3.421038194170937e-05
3.0,7900,6.829692611533257e-05
3.0,8100,7.01517089977423e-05
3.0,8400,1.6139084576071114e-05
3.0,8600,3.281776789464414e-05
3.0,8800,6.571941854001565e-05
3.0,9100,3.225757650282931e-05
3.0,9300,3.198908967955428e-05
4.0,0,1.0427428036936628e-05
4.0,200,0.18194494520555535
4.0,500,6.707470180116352e-05
4.0,700,3.359976273866415
4.0,900,0.00020311805905636398
4.0,1200,0.00017574509946666168
4.0,1400,0.6709157998501208
4.0,1600,5.049145553810756
4.0,1900,0.4765965657378605
4.0,2100,0.00014804722286794917
4.0,2300,4.985112160105609
4.0,2600,6.37081735726171e-05
4.0,2800,6.376920485117054e-05
4.0,3000,1.4915946689195222e-05
4.0,3300,0.12292219515111853
4.0,3500,0.00018439390762105826
4.0,3700,5.788152627020592e-05
4.0,4000,0.0022211183467783857
4.0,4200,1.4071155544251266
4.0,4400,0.00011736787327508963
4.0,4600,0.0016596738033995099
4.0,4900,0.0017837630607269945
4.0,5100,6.770440942263119e-05
4.0,5300,0.23625462622615145
4.0,5600,2.4463810008508307
4.0,5800,2.9640715717812884e-05
4.0,6000,3.0195377134158126e-05
4.0,6300,1.2797199809784654
4.0,6500,0.00015869483525301245
4.0,6700,6.276112822990973e-05
4.0,7000,1.4825191757546563e-05
4.0,7200,0.11620288324953665
4.0,7400,6.91228570487874e-05
4.0,7700,0.0001406349413323535
4.0,7900,0.0001278516169602534
4.0,8100,3.344368008746057e-05
4.0,8400,1.3529808077446224e-05
4.0,8600,0.8227409036829334
4.0,8800,5.903143092246353
4.0,9100,4.664420022163581
4.0,9300,7.223196204470319e-05
5.0,0,1.1919749127097795e-05
5.0,200,3.1050314151920224
5.0,500,0.5728815872079126
5.0,700,5.603087437671078
5.0,900,0.00033549557544937744
5.0,1200,3.93162813843735e-05
5.0,1400,3.02391093486553
5.0,1600,2.4663837356004272
5.0,1900,0.0001358883773797261
5.0,2100,0.00032097470451565796
5.0,2300,0.48050860923513355
5.0,2600,0.00012365354777606904
5.0,2800,0.7402726024750258
5.0,3000,2.5197061405020915
5.0,3300,4.296886775118578
5.0,3500,4.775242432067188
5.0,3700,0.00010019788584017204
5.0,4000,7.295009280809055
5.0,4200,3.8544281294342526
5.0,4400,4.9271331328135815e-05
5.0,4600,0.0005041861963669986
5.0,4900,0.00013506911447267714
5.0,5100,4.662791802317491
5.0,5300,1.3601615101731743
5.0,5600,1.375067771216414
5.0,5800,3.6394905469917838
5.0,6000,0.0005055448121655618
5.0,6300,3.668904724519485
5.0,6500,3.787053075652213
5.0,6700,8.95504740325952
5.0,7000,0.0001717714620118233
5.0,7200,7.155802682607414e-05
5.0,7400,0.9045754789243275
5.0,7700,2.210071666880012
5.0,7900,2.1943003289009213
5.0,8100,2.682347856135426
5.0,8400,2.156577077289657
5.0,8600,4.723546124105802
5.0,8800,7.597149594684951
5.0,9100,10.131153064788313
5.0,9300,0.00016313027800619984
6.0,0,1.0966568573566361e-05
6.0,200,0.00013379787622828633
6.0,500,3.0006245968831218
6.0,700,2.7369839737810504
6.0,900,9.932614684317755e-05
6.0,1200,0.00010705292925709269
6.0,1400,7.539421154962969e-05
6.0,1600,1.4039628986515784e-05
6.0,1900,3.249053152536338e-05
6.0,2100,3.318983822634011e-05
6.0,2300,0.00010110766665665015
6.0,2600,6.277872141332207e-05
6.0,2800,0.00026448019544046035
6.0,3000,9.773995057372305e-05
6.0,3300,0.10890106509162481
6.0,3500,0.000184380024599208
6.0,3700,4.674072345348244e-05
6.0,4000,0.0005121994401863355
6.0,4200,0.00011897824581625652
6.0,4400,0.0032945832706869345
6.0,4600,0.00018392844372908755
6.0,4900,1.3455668474512386
6.0,5100,3.0812201354528045e-05
6.0,5300,1.84753429085475
6.0,5600,4.191502130881316e-05
6.0,5800,0.00011133106866483773
6.0,6000,5.9257745957292496e-05
6.0,6300,0.00047378513222104564
6.0,6500,0.00011426106571299296
6.0,6700,0.00010421142642490925
6.0,7000,0.00010664267153334269
6.0,7200,7.075748604891202e-05
6.0,7400,2.721807979602917
6.0,7700,0.0001282883226173649
6.0,7900,0.00012716638069157362
6.0,8100,4.814815286881606
6.0,8400,4.757753489102275
6.0,8600,7.651839386798167
6.0,8800,2.2457382057298787
6.0,9100,0.00012181465884099644
6.0,9300,2.0921641752093
7.0,0,1.2950675346918955e-05
7.0,200,0.0009100289388039926
7.0,500,1.3301519917727764
7.0,700,0.00010732735136398601
7.0,900,0.4992412289644486
7.0,1200,0.00020086330483945044
7.0,1400,0.00019924992531184072
7.0,1600,8.081975123466471e-05
7.0,1900,0.00017341712747819026
7.0,2100,2.764158689490326e-05
7.0,2300,0.47345424275149484
7.0,2600,0.0012432756418461815
7.0,2800,0.4622716558352654
7.0,3000,9.990579187152438e-05
7.0,3300,1.6774902213669753e-05
7.0,3500,0.00019467830690508183
7.0,3700,0.00010801064610036341
7.0,4000,0.00015131537458004172
7.0,4200,9.777540469941513e-06
7.0,4400,0.00013800772150010922
7.0,4600,0.0005119221365824201
7.0,4900,4.8788074475256415
7.0,5100,0.0004924288234616522
7.0,5300,0.00011681655119549395
7.0,5600,0.0001251262857474818
7.0,5800,0.00012587804308947294
7.0,6000,0.001797255478013449
7.0,6300,0.00011192520879791461
7.0,6500,5.8309519162421685e-05
7.0,6700,5.847187547876041e-05
7.0,7000,0.00011987430282000892
7.0,7200,0.000130725283457593
7.0,7400,0.00010186672448990962
7.0,7700,4.882917544292269
7.0,7900,8.628844515572936e-05
7.0,8100,7.492894659497695e-05
7.0,8400,2.2446409401299965
7.0,8600,0.03758945363855364
7.0,8800,0.00013048163793630317
7.0,9100,0.16047439252920376
7.0,9300,8.442738553591633e-05
8.0,0,8.689555636429952e-06
8.0,200,4.4700291774164036e-05
8.0,500,5.499097398662816e-05
8.0,700,0.00015311968248279837
8.0,900,3.4237870941761965e-05
8.0,1200,2.911398118661683e-05
8.0,1400,1.133197682175592e-05
8.0,1600,1.4678341959888805e-05
8.0,1900,3.0396901662090797e-05
8.0,2100,7.27530127542553e-05
8.0,2300,2.8873874111390698e-05
8.0,2600,2.8663263137181345e-06
8.0,2800,9.844358927273028e-05
8.0,3000,2.562690647584853e-06
8.0,3300,5.204570505616012e-05
8.0,3500,1.0510936611844407e-05
8.0,3700,3.8346600390647004e-05
8.0,4000,3.2523517823248995e-05
8.0,4200,1.281946288716179e-05
8.0,4400,0.0007890752983221563
8.0,4600,1.2645725423018928e-05
8.0,4900,3.061076313091083e-05
8.0,5100,3.0380016669028893e-05
8.0,5300,3.023601487421459e-05
8.0,5600,4.684836565976098e-05
8.0,5800,4.048963238180016e-05
8.0,6000,1.5624242521864717e-05
8.0,6300,1.1889980987828224e-05
8.0,6500,1.0971734634112207e-05
8.0,6700,1.1722374101772932e-05
8.0,7000,4.590521519123904e-05
8.0,7200,3.970013815760987e-06
8.0,7400,3.400513012857339e-06
8.0,7700,1.4092204882416913e-05
8.0,7900,3.363517236659452e-05
8.0,8100,3.3394822693436324e-05
8.0,8400,1.3488829846734717e-05
8.0,8600,3.280170810159352e-05
8.0,8800,3.4924748529303654e-11
8.0,9100,1.3252954113300661e-05
8.0,9300,3.202588209120359e-05
9.0,0,1.074161671277078e-05
