Point,Sum Error
0.0,-0.2345924166518747
1.0,-2.876104993849741e-06
2.0,-0.1830101032090573
3.0,-0.07299614215596222
4.0,-0.1594598373444719
5.0,-1.7171240469360514
6.0,-0.15719077648903979
7.0,-0.30455397166822706
8.0,-5.671931330058633e-05
9.0,0.917568385255181
Point 0.0 Average,-0.2345924166518747
Point 1.0 Average,-2.876104993849741e-06
Point 2.0 Average,-0.1830101032090573
Point 3.0 Average,-0.07299614215596222
Point 4.0 Average,-0.1594598373444719
Point 5.0 Average,-1.7171240469360514
Point 6.0 Average,-0.15719077648903979
Point 7.0 Average,-0.30455397166822706
Point 8.0 Average,-5.671931330058633e-05
Point 9.0 Average,0.917568385255181
Overall Average,-0.19114185046177978
