Point,Sum Error
0.0,0.8333012849395489
1.0,0.0963270445972999
2.0,0.06967344004352882
3.0,0.058328386587825465
4.0,0.0450515230445091
5.0,-0.6958085736115911
6.0,-0.590147286793462
7.0,0.007370353594242762
8.0,-0.009383431772867247
9.0,-0.03211227290409413
Point 0.0 Average,0.8333012849395489
Point 1.0 Average,0.0963270445972999
Point 2.0 Average,0.06967344004352882
Point 3.0 Average,0.058328386587825465
Point 4.0 Average,0.0450515230445091
Point 5.0 Average,-0.6958085736115911
Point 6.0 Average,-0.590147286793462
Point 7.0 Average,0.007370353594242762
Point 8.0 Average,-0.009383431772867247
Point 9.0 Average,-0.03211227290409413
Overall Average,-0.021739953227505958
